"","year","brand","superbowl_ads_dot_com_url","youtube_url","funny","show_product_quickly","patriotic","celebrity","danger","animals","use_sex","duration","cost"
"28",2011,"Coca-Cola","https://superbowl-ads.com/2011-coca-cola-border/","https://www.youtube.com/watch?v=Aw6-aXMBseo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,5897298
"29",2019,"Pepsi","https://superbowl-ads.com/2019-pepsi-bubly-buble/","https://www.youtube.com/watch?v=I-_Uh-vZXgo",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,37,5199916
"30",2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/","https://www.youtube.com/watch?v=r_kXSO9Cph0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30,4800000
"31",2010,"Bud Light","https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=zE7wyUmsM0k",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,5600000
"32",2018,"Doritos","https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/","https://www.youtube.com/watch?v=rZh_CbcVe7M",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,60,10470758
"33",2018,"Coca-Cola","https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/","https://www.youtube.com/watch?v=be5DH6jQs38",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,30,5235379
"34",2013,"Hynudai","https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/","https://www.youtube.com/watch?v=YyKVvAZSAug",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,102,11295390
"35",2004,"Pepsi","https://superbowl-ads.com/2004-pepsi-bears-find-food/","https://www.youtube.com/watch?v=GzWUUZRli6s",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,45,4604400
"36",2018,"Kia","https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/","https://www.youtube.com/watch?v=9_dE6Z2HK8I",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,75,10470758
"37",2018,"Pepsi","https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/","https://www.youtube.com/watch?v=0gHYd67OumQ",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,86,15706137
"38",2018,"NFL","https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/","https://www.youtube.com/watch?v=KUoD-gPDahw",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,60,10470758
"39",2010,"E-Trade","https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=LgiYL1Ry2I8",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,2800000
"40",2017,"NFL","https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/","https://www.youtube.com/watch?v=pvKBdrx4quA",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,60,10799746
"41",2007,"E-Trade","https://superbowl-ads.com/2007-etrade-one-finger/","https://www.youtube.com/watch?v=jaR5-kefxn4",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30,2385365
"42",2013,"Doritos","https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/","https://www.youtube.com/watch?v=DoM6IhfY8No",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,3765130
"43",2013,"Budweiser","https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/","https://www.youtube.com/watch?v=AMP9fgyi41M",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,32,3765130
"44",2007,"Doritos","https://superbowl-ads.com/2007-doritos-live-the-favor/","https://www.youtube.com/watch?v=kNxgxF-7SfA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,31,2385365
"45",2009,"Budweiser","https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/","https://www.youtube.com/watch?v=w_ZEGUX4YnI",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,33,3e+06
"46",2012,"E-Trade","https://superbowl-ads.com/2012-etrade-fatherhood/","https://www.youtube.com/watch?v=fObt1E6Ij_E",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,3442752
"47",2019,"Bud Light","https://superbowl-ads.com/2019-bud-light-medieval-barbers/","https://www.youtube.com/watch?v=hkSQ2Vr41bM",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,0
"48",2017,"Kia","https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/","https://www.youtube.com/watch?v=pVxmT2x3Od4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,72,10799746
"49",2007,"Bud Light","https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/","https://www.youtube.com/watch?v=qIC90Vnc-OI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,31,2385365
"50",2011,"Bud Light","https://superbowl-ads.com/2011-bud-light-dog-sitter/","https://www.youtube.com/watch?v=JJn1vM7LB1Y",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,32,2948649
"51",2016,"Pepsi","https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/","https://www.youtube.com/watch?v=B9j4Cw5dkBs",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
"52",2009,"Hynudai","https://superbowl-ads.com/2009-hyundai-angry-bosses/","https://www.youtube.com/watch?v=puG0WOgAUfs",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32,3e+06
"53",2011,"Coca-Cola","https://superbowl-ads.com/2011-coca-cola-siege/","https://www.youtube.com/watch?v=nAJvHsVoLq0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,61,5897298
"54",2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/","https://www.youtube.com/watch?v=wBcijELzZi4",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,45,9600000
"55",2009,"Doritos","https://superbowl-ads.com/2009-doritos-new-flavor-pitch/","https://www.youtube.com/watch?v=qKKpRhFcKBk",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38,3e+06
"56",2010,"Doritos","https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=1ww1k7w4WQ8",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,30,2800000
